m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
6.387632511817171732e-01 1.055244250812101825e+01 4.719216742540283605e+01 8.503015210737178364e+00 3.655626966186132876e+01 2.838239983185872894e+00 2.016559761154054220e-01 7.643612335663152457e+00
8.431139909307944214e-01 9.759744943356709612e+00 3.807357140862562517e+01 7.915325639141273406e+00 3.118748766107361092e+01 2.571243197617021803e+00 2.006790075193201073e-01 5.093342780943577175e+00
7.290642581048650817e-01 1.416435598612256541e+01 4.601581139353496042e+01 7.739967808081041234e+00 6.056821300326753921e+00 2.856098747842530372e+00 2.015117119825126923e-01 8.489246842260008918e+00
7.513588874230778814e-01 1.019013627397319866e+01 4.410385613360227808e+01 8.236915438642185450e+00 3.089814196029756488e+01 2.731914239583017601e+00 2.011456830701750798e-01 6.501575997097886805e+00
7.402871431652625622e-01 9.717380419140763337e+00 3.998862254278520822e+01 8.381548800324150506e+00 3.558247338811781901e+01 2.640039358066462505e+00 2.052494836137304379e-01 5.627423144788985532e+00
7.262843660488265130e-01 7.743107409114448281e+00 5.075933576848247242e+01 8.341895194699777250e+00 4.947903515410853714e+01 2.800576208048829674e+00 2.004500311002381241e-01 7.978462428364324843e+00
6.653240524875401185e-01 9.960841249157553534e+00 4.380249065432094113e+01 8.531801084070139041e+00 4.369232627898875876e+01 2.696480137318996384e+00 2.070802203850782286e-01 7.357238850939795682e+00
6.464077804476301425e-01 9.369333560265765470e+00 4.905530221752619013e+01 8.051606913740592120e+00 4.335356910959630738e+01 2.775102059952628597e+00 2.044104807182550720e-01 7.899042574249165227e+00
7.206070261981840641e-01 8.638804341768455686e+00 5.119451678104135084e+01 8.342879719426971263e+00 3.925440710794524790e+01 2.880909543033412845e+00 2.010899954075091034e-01 7.678435733093225579e+00
1.030960620452029186e+00 5.606870757785369364e+00 5.392661721273685060e+01 7.962319347471397357e+00 5.391036732130523035e+01 2.819399785540927184e+00 2.079401244796688919e-01 7.966280985716598373e+00
6.919739882015940591e-01 1.236304699621970471e+01 5.012411356282474628e+01 8.442338436741719576e+00 2.442323821170004194e+01 2.938307472479163351e+00 2.008665229747282066e-01 1.147751760292546841e+01
6.889855941994484922e-01 7.185308552084586964e+00 6.060669257068653337e+01 8.534468665585306368e+00 5.535537636118509397e+01 3.046743856890028468e+00 2.015286923093649596e-01 1.049103898728830409e+01
5.901823163351099799e-01 1.275603073809952015e+01 4.989956848552315449e+01 8.090194096927920242e+00 3.943772263814216217e+01 2.933566053035939536e+00 2.035349596704018882e-01 1.154436689695678275e+01
7.024207659058031572e-01 1.177424377679123246e+01 4.889013577205487593e+01 8.082235307255986712e+00 3.132198522482355685e+01 2.845840327558185834e+00 2.009436391217122031e-01 1.036162519930857862e+01
7.367230431417971515e-01 9.388063043969726351e+00 4.227216714409828313e+01 7.917483316940226779e+00 3.974597025434390218e+01 2.626393288690588523e+00 2.010228906540552085e-01 6.361724300330198645e+00
