m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
1.000740630356449223e+00 6.001988639625768229e+00 5.230300451292028185e+01 8.077779225593300083e+00 4.007950770293181364e+01 2.626204477724991548e+00 2.009779578561949331e-01 1.855304321547015789e+01
1.142994189128939464e+00 5.327160830481183496e+00 5.612298157007754185e+01 8.351388437097249096e+00 4.559590327481243577e+01 2.621379864882001254e+00 2.023851122807794334e-01 2.433887781632475722e+01
1.159607662016283403e+00 5.243443133592747607e+00 5.406833551815959282e+01 8.214919592220997657e+00 5.148259566763736927e+01 2.623749602595635277e+00 2.018863422475210001e-01 2.373409757401827136e+01
1.078921307993673251e+00 5.245276043381513098e+00 5.733654684715499172e+01 7.897676120322945081e+00 5.526948632444077703e+01 2.655652354591626185e+00 2.014773581210388687e-01 2.453346539756958578e+01
1.296423179091089617e+00 5.759223662456977699e+00 5.358115250435172072e+01 8.003098549518597338e+00 5.202983626419821483e+00 2.570415757004617774e+00 2.036986126137386444e-01 1.206769851138908400e+01
1.099183531504074773e+00 6.043046443554246139e+00 5.491613568419704450e+01 7.660269643237102244e+00 3.449239588366481968e+01 2.663729003983138277e+00 2.028294109835458991e-01 2.467754242880596394e+01
1.163747415949898834e+00 5.509553121632368544e+00 5.416853532102783930e+01 8.083329090697926489e+00 3.938066023255592540e+01 2.621825251780302235e+00 2.023478536552829887e-01 2.297708286687471357e+01
1.212562431967278087e+00 5.089813814751786403e+00 5.910127155026761159e+01 7.770980352730210150e+00 1.644971413336225652e+01 2.705192235613174567e+00 2.007345032735815549e-01 1.736996289380697789e+01
1.137260802887856137e+00 5.306071585087223319e+00 5.650337785744679309e+01 8.045429148602366354e+00 4.437849316418845547e+01 2.654981678872785800e+00 2.025750599840761834e-01 1.939319324883051010e+01
1.028402389110285364e+00 5.607700791003879637e+00 5.610922259540780743e+01 7.813428050250777801e+00 3.808153638972014932e+01 2.659416784949887091e+00 2.016662764798814456e-01 2.448353570478492358e+01
1.001084320297631836e+00 6.759548689485664674e+00 5.093184992378820652e+01 8.038998932242090945e+00 2.005742919601562946e+01 2.557109867163075201e+00 2.064201352830141167e-01 1.691039980352262972e+01
9.791935377902570847e-01 5.628747631117533068e+00 5.293338275267375082e+01 8.705941734359074147e+00 5.212635731664077099e+01 2.613635335847588337e+00 2.002279244110452550e-01 1.942601998514037476e+01
1.155663919590384614e+00 5.611312157390615951e+00 5.672619095757558938e+01 7.823955741578705769e+00 2.397284443147150768e+01 2.700831112897669417e+00 2.002450567440857698e-01 1.856301587348476545e+01
9.289898217388488089e-01 6.059023364251471477e+00 5.680388433951389260e+01 7.783692285353734697e+00 3.303124635501013273e+01 2.711539628386649525e+00 2.005331598915643943e-01 2.005169954932349441e+01
1.099104233367419026e+00 5.446170989586697431e+00 5.445799477424461799e+01 7.913042142433542203e+00 2.900668634426376258e+01 2.581354240659042176e+00 2.013584417509343694e-01 1.848507122374628864e+01
1.089974961144912324e+00 5.565229298846742445e+00 5.653533353495313918e+01 8.107488647361726919e+00 2.624271965426343911e+01 2.721845510916049093e+00 2.027390520363018256e-01 2.335886475392094042e+01
1.225943634309641483e+00 5.438305829132820790e+00 5.498226479873650163e+01 8.256964142647097660e+00 2.365822660157506618e+01 2.644954314142820895e+00 2.003430059921427475e-01 2.286647784161408836e+01
1.336452276712298159e+00 5.331519748338142684e+00 4.856375977304615787e+01 8.050104515581111286e+00 7.728935386363694704e+00 2.569129824918377381e+00 2.007509658747985148e-01 2.985109680964283640e+00
9.151318739062856977e-01 5.787864191321443919e+00 5.643385140221686669e+01 7.976263496181598356e+00 5.237763923465946903e+01 2.715996858262001989e+00 2.011169272983957534e-01 2.239426332620438131e+01
1.216731582725050220e+00 5.497353553341559618e+00 5.580822224969092105e+01 8.334015449665029607e+00 1.151689326261411317e+01 2.659216808034619905e+00 2.035064996280631366e-01 1.710455967184190484e+01
